type.string(), rank.int32(),title.string(), genres.string(), imdb.string(), poster.string()
top,1,"Gate of Heavenly Peace, The (1995)",Documentary,"(http://www.imdb.com/title/tt0113147)",https://m.media-amazon.com/images/M/MV5BZmQ5ZmEwMDEtZTUxMi00NTQyLTgyNmEtODc4ZjIwZWI5YjY1XkEyXkFqcGdeQXVyNDc3MTk3Njg@..jpg
top,2,"Schlafes Bruder (Brother of Sleep) (1995)",Drama,"(http://www.imdb.com/title/tt0114354)",https://m.media-amazon.com/images/M/MV5BMTQ5OTg5NTY4M15BMl5BanBnXkFtZTcwODA0MDUxMQ@@..jpg
top,3,"Follow the Bitch (1998)",Comedy,"(http://www.imdb.com/title/tt0119139)",https://m.media-amazon.com/images/M/MV5BMTYxODE3Mzc4Ml5BMl5BanBnXkFtZTcwMTAwMjkwOA@@..jpg
top,4,"Ulysses (Ulisse) (1954)",Adventure,"(http://www.imdb.com/title/tt0047630)",https://m.media-amazon.com/images/M/MV5BY2Q2YTk2MTktNzJjZC00MzI5LWFmN2EtMzQ0ODI1ZDIxNmM1XkEyXkFqcGdeQXVyNjc1NTYyMjg@..jpg
top,5,"Smashing Time (1967)",Comedy,"(http://www.imdb.com/title/tt0062281)",https://m.media-amazon.com/images/M/MV5BNDlkOTJhNDktOWZiOS00N2I5LWE4ZDEtZjgxN2JlNTQzOGRmXkEyXkFqcGdeQXVyMTMxMTY0OTQ@..jpg
top,6,"Baby, The (1973)",Horror,"(http://www.imdb.com/title/tt0069754)",https://m.media-amazon.com/images/M/MV5BMzdlMzc0ZDUtMDI0OS00NDk4LWE4YjQtYjk1YzRmZjFjMDAzXkEyXkFqcGdeQXVyODY0NzcxNw@@..jpg
top,7,"Song of Freedom (1936)",Drama,"(http://www.imdb.com/title/tt0028282)",https://m.media-amazon.com/images/M/MV5BZTFlZDE5ZWMtOGU0YS00ZGQ2LTk5MmYtOWQ0YWE5MjE5YTU4XkEyXkFqcGdeQXVyMzg1ODEwNQ@@..jpg
top,8,"One Little Indian (1973)",Comedy|Drama|Western,"(http://www.imdb.com/title/tt0070481)",https://m.media-amazon.com/images/M/MV5BMmMxMjhlYzYtNWFhZC00MGQyLTg1NmUtNDc1ZjE3ZjlhMzIxXkEyXkFqcGdeQXVyMTM3NzQ5NzQ@..jpg
top,9,"Lured (1947)",Crime,"(http://www.imdb.com/title/tt0039589)",https://m.media-amazon.com/images/M/MV5BMmE5MmM1ZmEtM2JhMC00OTc1LThhNzItZWEyNWU5NzA2OWZlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@..jpg
top,10,"Bittersweet Motel (2000)",Documentary,"(http://www.imdb.com/title/tt0168515)",https://m.media-amazon.com/images/M/MV5BMTY1NTc0MDM2N15BMl5BanBnXkFtZTcwODc4MjMyMQ@@..jpg
